"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 28, 2013","1,534.41","1,530.38","1,544.84","1,529.76","-","0.25%"
"Feb 27, 2013","1,530.52","1,531.66","1,535.42","1,525.56","-","-0.02%"
"Feb 26, 2013","1,530.82","1,565.07","1,567.11","1,524.46","-","-2.19%"
"Feb 25, 2013","1,565.07","1,551.04","1,567.29","1,549.05","-","0.90%"
"Feb 22, 2013","1,551.04","1,545.59","1,558.19","1,544.36","-","0.15%"
"Feb 21, 2013","1,548.76","1,582.63","1,583.25","1,545.40","-","-2.14%"
"Feb 20, 2013","1,582.63","1,592.74","1,597.68","1,582.24","-","-0.63%"
"Feb 19, 2013","1,592.74","1,578.65","1,593.38","1,577.86","-","0.89%"
"Feb 18, 2013","1,578.65","1,577.26","1,580.90","1,566.41","-","0.09%"
"Feb 15, 2013","1,577.26","1,588.31","1,589.35","1,567.81","-","-0.70%"
"Feb 14, 2013","1,588.31","1,612.55","1,623.28","1,582.85","-","-1.51%"
"Feb 13, 2013","1,612.65","1,582.35","1,615.58","1,582.35","-","1.91%"
"Feb 12, 2013","1,582.35","1,581.95","1,590.31","1,574.30","-","0.03%"
"Feb 11, 2013","1,581.95","1,590.13","1,595.99","1,581.70","-","-0.51%"
"Feb 08, 2013","1,590.13","1,595.36","1,596.88","1,577.74","-","-0.33%"
"Feb 07, 2013","1,595.36","1,602.99","1,607.27","1,592.43","-","-0.48%"
"Feb 06, 2013","1,602.99","1,614.09","1,630.74","1,599.00","-","-0.69%"
"Feb 05, 2013","1,614.09","1,612.52","1,617.26","1,599.47","-","0.10%"
"Feb 04, 2013","1,612.52","1,628.26","1,637.62","1,610.94","-","-0.97%"
"Feb 01, 2013","1,628.31","1,621.71","1,635.71","1,620.31","-","0.38%"
"Jan 31, 2013","1,622.13","1,618.71","1,623.63","1,608.46","-","0.21%"
"Jan 30, 2013","1,618.77","1,623.87","1,636.03","1,612.42","-","-0.31%"
"Jan 29, 2013","1,623.87","1,635.50","1,637.00","1,618.96","-","-0.71%"
"Jan 28, 2013","1,635.50","1,618.84","1,638.08","1,615.04","-","1.03%"
"Jan 25, 2013","1,618.84","1,604.66","1,620.43","1,597.75","-","0.88%"
"Jan 24, 2013","1,604.65","1,605.36","1,605.36","1,585.01","-","-0.04%"
"Jan 23, 2013","1,605.36","1,589.02","1,605.88","1,587.88","-","1.03%"
"Jan 22, 2013","1,589.02","1,600.13","1,604.63","1,580.80","-","-0.69%"
"Jan 21, 2013","1,600.13","1,603.44","1,603.99","1,594.09","-","-0.21%"
"Jan 18, 2013","1,603.50","1,585.44","1,605.68","1,584.97","-","1.14%"
"Jan 17, 2013","1,585.44","1,571.15","1,586.80","1,571.13","-","0.91%"
"Jan 16, 2013","1,571.15","1,576.54","1,585.82","1,562.16","-","-0.34%"
"Jan 15, 2013","1,576.54","1,590.21","1,593.12","1,576.54","-","-0.86%"
"Jan 14, 2013","1,590.21","1,571.73","1,594.17","1,569.66","-","1.18%"
"Jan 11, 2013","1,571.73","1,572.00","1,575.42","1,565.57","-","-0.02%"
"Jan 10, 2013","1,572.00","1,568.59","1,576.32","1,568.59","-","0.22%"
"Jan 09, 2013","1,568.59","1,576.10","1,578.31","1,564.09","-","-0.48%"
"Jan 08, 2013","1,576.10","1,526.98","1,582.35","1,526.98","-","2.99%"
"Jan 01, 2013","1,530.41","1,530.41","1,530.41","1,530.41","-","0.22%"
"Dec 28, 2012","1,526.98","1,535.05","1,537.44","1,520.79","-","-0.53%"
"Dec 27, 2012","1,535.05","1,526.34","1,535.05","1,523.23","-","0.57%"
"Dec 26, 2012","1,526.34","1,513.74","1,526.84","1,511.55","-","0.83%"
"Dec 25, 2012","1,513.74","1,515.87","1,520.29","1,513.47","-","-0.14%"
"Dec 24, 2012","1,515.87","1,512.23","1,519.08","1,509.14","-","0.24%"
